node_id,disciplina_estrategica,disciplina,materia,conteudo,subunidade,descricao_curta,tamanho_pedagogico,expected_contacts_min,expected_contacts_target,cadencia_base,frequencia_base,peso_recorrencia,peso_estrategico,tipo_no,free_mode,ativo,observacoes
MATH_001,Matematica,Matematica,Matematica Basica,Operacoes com inteiros,Soma e subtracao,Somar e subtrair inteiros com seguranca,micro,2,4,1d,alta,1.0,1.3,skill,true,true,Refinamento do antigo no amplo de operacoes basicas.
MATH_002,Matematica,Matematica,Matematica Basica,Divisibilidade,Multiplos e divisores,Entender divisibilidade criterios e decomposicao,pequeno,2,4,1d,alta,1.0,1.2,content,true,true,Ajuda em fatoracao simplificacao e aritmetica.
MATH_003,Matematica,Matematica,Matematica Basica,Potencias e raizes,Potenciacao e radiciacao,Operar potencias e raizes sem travar,pequeno,2,4,2d,alta,1.0,1.2,skill,true,true,Base algebrica para expressoes e funcoes.
MATH_004,Matematica,Matematica,Matematica Basica,Sistema de numeracao,Sistema metrico decimal e leitura numerica,Ler escalas ordens e medidas com seguranca,pequeno,2,4,2d,alta,0.9,1.2,skill,true,true,Sustenta escalas e leitura de grandezas.
MATH_005,Matematica,Matematica,Matematica Basica,Algebra inicial,Fatoracao e produtos notaveis,Reconhecer padroes algebricos classicos,medio,3,5,3d,media,1.0,1.2,content,true,true,Prepara equacao do segundo grau e simplificacoes.
MATH_006,Matematica,Matematica,Proporcionalidade,Razao e proporcao,Razao,Comparar grandezas e interpretar taxas simples,medio,3,5,2d,alta,1.2,1.3,content,true,true,Parte inicial do antigo bloco amplo de razao e proporcao.
MATH_007,Matematica,Matematica,Proporcionalidade,Aplicacoes proporcionais,Divisao proporcional,Distribuir valores por proporcao corretamente,medio,3,5,3d,media,1.1,1.2,content,true,true,Aplicacao direta da estrutura proporcional.
MATH_008,Matematica,Matematica,Proporcionalidade,Aplicacoes proporcionais,Escalas,Interpretar representacoes reduzidas e ampliadas,medio,3,5,3d,media,1.1,1.2,content,true,true,Usa sistema metrico e proporcao.
MATH_009,Matematica,Matematica,Proporcionalidade,Porcentagem,Porcentagem,Calcular percentuais e variacoes basicas,medio,3,5,3d,alta,1.3,1.3,content,true,true,Alta recorrencia no ENEM e em matematica financeira.
MATH_010,Matematica,Matematica,Proporcionalidade,Regra de tres,Regra de tres,Resolver problemas diretos com relacoes proporcionais,medio,4,6,3d,alta,1.3,1.3,content,true,true,Aplicacao operacional forte da trilha basica.
MATH_011,Matematica,Matematica,Algebra Basica,Equacoes,Equacao do primeiro grau,Resolver e interpretar equacoes lineares simples,medio,3,5,3d,alta,1.2,1.3,content,true,true,Base para funcoes sistemas e matematica financeira.
MATH_012,Matematica,Matematica,Algebra Basica,Equacoes,Equacao do segundo grau,Resolver e interpretar equacoes quadraticas,medio,4,6,3d,alta,1.2,1.3,content,true,true,Prepara funcao quadratica e modelagem algebrica.
MATH_013,Matematica,Matematica,Algebra Basica,Conjuntos,Conjuntos,Organizar relacoes entre conjuntos e intervalos,pequeno,2,4,3d,media,0.8,1.1,content,true,true,Ajuda na linguagem de funcoes e contagem.
