id,nome,disciplina,descricao,ordem,status
1,Bloco 1,Biologia,,1,em_andamento
2,Bloco 1,Filosofia/Sociologia,,1,em_andamento
3,Bloco 1,Física,,1,em_andamento
4,Bloco 1,Geografia,,1,em_andamento
5,Bloco 1,Gramática,,1,em_andamento
6,Bloco 1,História Geral,,1,em_andamento
7,Bloco 1,História do Brasil,,1,em_andamento
8,Bloco 1,Interpretação de texto,,1,em_andamento
9,Bloco 1,Literatura,,1,em_andamento
10,Bloco 1,Matemática,,1,em_andamento
11,Bloco 1,Química,,1,em_andamento
12,Bloco 2,Biologia,,2,em_andamento
13,Bloco 2,Filosofia/Sociologia,,2,em_andamento
14,Bloco 2,Física,,2,em_andamento
15,Bloco 2,Geografia,,2,em_andamento
16,Bloco 2,Gramática,,2,em_andamento
17,Bloco 2,História Geral,,2,em_andamento
18,Bloco 2,História do Brasil,,2,em_andamento
19,Bloco 2,Interpretação de texto,,2,em_andamento
20,Bloco 2,Matemática,,2,em_andamento
21,Bloco 2,Química,,2,em_andamento
22,Bloco 3,Biologia,,3,em_andamento
23,Bloco 3,Filosofia/Sociologia,,3,em_andamento
24,Bloco 3,Física,,3,em_andamento
25,Bloco 3,Geografia,,3,em_andamento
26,Bloco 3,História Geral,,3,em_andamento
27,Bloco 3,História do Brasil,,3,em_andamento
28,Bloco 3,Interpretação de texto,,3,em_andamento
29,Bloco 3,Literatura,,3,em_andamento
30,Bloco 3,Matemática,,3,em_andamento
31,Bloco 3,Química,,3,em_andamento
32,Bloco 4,Biologia,,4,em_andamento
33,Bloco 4,Filosofia/Sociologia,,4,em_andamento
34,Bloco 4,Física,,4,em_andamento
35,Bloco 4,Geografia,,4,em_andamento
36,Bloco 4,Gramática,,4,em_andamento
37,Bloco 4,História Geral,,4,em_andamento
38,Bloco 4,História do Brasil,,4,em_andamento
39,Bloco 4,Interpretação de texto,,4,em_andamento
40,Bloco 4,Literatura,,4,em_andamento
41,Bloco 4,Matemática,,4,em_andamento
42,Bloco 4,Química,,4,em_andamento
43,Bloco 5,Biologia,,5,em_andamento
44,Bloco 5,Filosofia/Sociologia,,5,em_andamento
45,Bloco 5,Física,,5,em_andamento
46,Bloco 5,Geografia,,5,em_andamento
47,Bloco 5,História do Brasil,,5,em_andamento
48,Bloco 5,Matemática,,5,em_andamento
49,Bloco 5,Química,,5,em_andamento
50,Bloco 6,Biologia,,6,em_andamento
51,Bloco 6,Filosofia/Sociologia,,6,em_andamento
52,Bloco 6,Física,,6,em_andamento
53,Bloco 6,Geografia,,6,em_andamento
54,Bloco 6,Gramática,,6,em_andamento
55,Bloco 6,História Geral,,6,em_andamento
56,Bloco 6,História do Brasil,,6,em_andamento
57,Bloco 6,Interpretação de texto,,6,em_andamento
58,Bloco 6,Literatura,,6,em_andamento
59,Bloco 6,Matemática,,6,em_andamento
60,Bloco 6,Química,,6,em_andamento
61,Bloco 7,Biologia,,7,em_andamento
62,Bloco 7,Filosofia/Sociologia,,7,em_andamento
63,Bloco 7,Física,,7,em_andamento
64,Bloco 7,Geografia,,7,em_andamento
65,Bloco 7,História Geral,,7,em_andamento
66,Bloco 7,História do Brasil,,7,em_andamento
67,Bloco 7,Interpretação de texto,,7,em_andamento
68,Bloco 7,Matemática,,7,em_andamento
69,Bloco 7,Química,,7,em_andamento
70,Bloco 8,Biologia,,8,em_andamento
71,Bloco 8,Filosofia/Sociologia,,8,em_andamento
72,Bloco 8,Física,,8,em_andamento
73,Bloco 8,Geografia,,8,em_andamento
74,Bloco 8,Gramática,,8,em_andamento
75,Bloco 8,História do Brasil,,8,em_andamento
76,Bloco 8,Interpretação de texto,,8,em_andamento
77,Bloco 8,Literatura,,8,em_andamento
78,Bloco 8,Matemática,,8,em_andamento
79,Bloco 8,Química,,8,em_andamento
80,Bloco 9,Biologia,,9,em_andamento
81,Bloco 9,Filosofia/Sociologia,,9,em_andamento
82,Bloco 9,Física,,9,em_andamento
83,Bloco 9,Geografia,,9,em_andamento
84,Bloco 9,História Geral,,9,em_andamento
85,Bloco 9,História do Brasil,,9,em_andamento
86,Bloco 9,Literatura,,9,em_andamento
